work_id,status,url,album,formats,notes
REC-030,alt,https://www.prestomusic.com/classical/products/7976913--barlow-compositions-for-piano-and-player-piano,"Barlow: Compositions for Piano and Player Piano (Cybele CYBELESACD960308)",SACD (hybrid multi-channel),"Cogluotobusisletmesi confirmed on tracklist — version for four pianos (Kruse/Kobler/Roelcke + Barlow player piano, cond. James Avery); not the 1975 WERGO recording. In stock (1 left). hat HATNOWART126 Musica Derivata checked: does NOT contain the work."
REC-055,alt,https://www.prestomusic.com/classical/products/8007206--stockhausen-gruppen,"Stockhausen: Gruppen (Deutsche Grammophon 4790341)",download,"Berliner Philharmoniker/Abbado — not the Stockhausen-Verlag edition. Also seen: DG 4477612 'Gruppen etc.' (/products/7930895) and BMC Eotvos/WDR (/products/7970946); Presto works page works/31277 lists all recordings."
REC-082,alt,https://www.prestomusic.com/classical/products/7928596--christian-wolff-bread-and-roses,"Christian Wolff - Bread and Roses (Wergo WER66582)","CD, download (FLAC/MP3)","Work confirmed on Presto works page (works/83719): performed by Malcolm Goldstein (violin/voice) & Matthias Kaul. Works page lists 8 recordings incl. The Art of David Tudor Vol. 1 (New World NW80737-1, download) and edition rz Kompositionen 1950-1972 (2 CDs RZ1023/24) — closest to the New World label hint."
REC-109,no,,,,"No Voyager recording on Presto. George E Lewis present as composer (sheet music: Oraculum, Memex, Shadowgraph 5; recordings: Assemblage NW80792, ezz-thetics Breaking News) but the Avant CD Voyager is not stocked."
REC-137,alt,https://www.prestomusic.com/classical/products/7939852--klang-electroacoustic-collection-1,"Klang - Electroacoustic Collection 1 (NMC NMCD035)","CD, download (FLAC/MP3, digital booklet)","Jonty Harrison's Klang (9:02) confirmed as title track on tracklist. empreintes DIGITALes release not carried by Presto — same composer tape realization on a different album."
REC-161,exact,https://www.prestomusic.com/classical/products/8109790--reich-early-works,"Reich: Early Works (Nonesuch 0349709206)",download (FLAC/MP3),"It's Gonna Rain Parts I & II (1965, Reich tape) confirmed on tracklist, alongside Come Out / Piano Phase / Clapping Music — this is the hinted Nonesuch Early Works album (download only; no CD listed). Also in Steve Reich: Collected Works 26CD+DVD box (/products/9746628)."
REC-187,exact,https://www.prestomusic.com/classical/products/8022584--10-2-12-american-text-sound-pieces,"10 + 2: 12 American Text Sound Pieces (Other Minds OM1006-2)",download (FLAC/MP3),"Amirkhanian: Just (4:30) confirmed on tracklist. Other Minds reissue of the original 1750 Arch LP that first carried Just — closest match to the label hint."
REC-216,alt,https://www.prestomusic.com/classical/products/8063340--fluxus-piano,"Fluxus Piano - Works of the 1960s, Steffen Schleiermacher (MDG 6131911)","CD, download (FLAC/MP3)","Presto works page works/270180 'Piano Pieces (4) for David Tudor' lists this as the only recording — 4 of the 5 pieces, Schleiermacher not Tudor. Also: Piano Piece for David Tudor III on 'David Tudor plays Cage, Wolff and Feldman' (edition rz RZ1018/19, 2 CDs, via works/177702). No WERGO five-piece set on Presto."
REC-240,no,,,,"Presto's full Niblock search returns 6 items (Mode: Disseminate Ostrava MOD-CD-131, Brazil 84 DVD, etc.) — no Touch Works for Hurdy Gurdy and Voice; Touch label not carried."
REC-282,alt,https://www.prestomusic.com/classical/products/7931640--the-master-musicians-of-jajouka,"The Master Musicians of Jajouka (Philips 4645362)",download,"Later ensemble recording featuring Bachir Attar (with Talvin Singh et al.), not the 1968 Brian Jones Presents the Pipes of Pan at Joujouka (Rolling Stones Records), which Presto does not stock."
REC-305,no,,,,"Route hint not borne out: Presto's classical Ocora catalogue is only 23 titles (checked label browse pages) and does not include Sardaigne - launeddas / Luigi Lai; searches for launeddas/Sardaigne/Luigi Lai return nothing on Presto. Nearest Sardinia item: Traditional Songs and Dances of Sardinia (Saydisc SDL426, /jazz/products/8068652) — different artists."
