work_id,status,url,album,formats,notes
REC-040,exact,https://www.prestomusic.com/jazz/products/9460183--confield,Confield (Autechre),2 Vinyl Records,"Warp WARPLP128R, 2023 vinyl reissue of the 2001 album; verified product page"
REC-066,alt,https://www.prestomusic.com/classical/products/7932419--glass-music-in-fifths-two-pages,Glass: Music in Fifths & Two Pages,"CD, download","Bang on a Can All-Stars (Cantaloupe CA21016), not the 1969 Chatham Square recording; work available only as full-album download; no original Glass Ensemble recording found on Presto"
REC-092,no,,,,"No Yasunao Tone recordings on Presto; site search returns only books and unrelated albums (Balloon Music, Music for Merce Vol. 5) without Anagram for Strings"
REC-127,exact,https://www.prestomusic.com/classical/products/8776131--luc-ferrari-l-ouvre-electronique,Luc Ferrari - L'oeuvre electronique,10 CDs,"inaGRM INAG6017-26 complete electronic works box (2025); Heterozygote confirmed in verified tracklist"
REC-149,no,,,,"4 Rooms (Touch) not stocked; Presto has other Kirkegaard items only (EMP RMX 333, Mirage, EMP 10)"
REC-168,exact,https://www.prestomusic.com/jazz/products/9266670--discreet-music,Discreet Music (Brian Eno),Download (FLAC/MP3),"Decca 866 4935 digital reissue of the original 1975 album; tracklist verified (title piece + 3 Pachelbel variations); alt ensemble version also exists: Eno arr. Contact, Cantaloupe CA21114 (prestomusic.com/classical/products/8078905--eno-b-discreet-music)"
REC-203,exact,https://www.prestomusic.com/classical/products/8069647--paul-lansky-fantasies-and-tableaux,Paul Lansky: Fantasies and Tableaux,Download (FLAC/MP3),"New World NWCR683 (CRI series); Six Fantasies on a Poem by Thomas Campion (Hannah MacKay voice) confirmed in verified tracklist; original recording"
REC-229,no,,,,"Four Violins (Table of the Elements) not on Presto; site search for Tony Conrad returns unrelated jazz/books only"
REC-258,no,,,,"No Necdet Yasar recordings on Presto; site search returns only two ethnomusicology books; no Kalan label listings found"
REC-289,no,,,,"Zero results on Presto for Rhythms of Rapture; Smithsonian Folkways title not stocked"
REC-320,no,,,,"1989 New Albion album (NA022) not on Presto; site search returns only different Deep Listening Band albums (Non Stop Flight, Sanctuary) and the book Deep Listening: A Composer's Sound Practice"
