work_id,status,url,album,formats,notes
REC-032,no,,,,"No Presto listing for Rhythms (Lovely Music not distributed). Joel Chadabe search returns 3 items — New American Music Vol. 4 (Folkways, download), 25 Years of New York New Music (Innova, download), From The Kitchen Archives - New Music New York 1979 (Orange Mountain 2CD) — none contains Rhythms."
REC-061,exact,https://www.prestomusic.com/classical/products/8043238--milton-babbitt-philomel,"Milton Babbitt: Philomel — Bethany Beardslee (New World NW80466)","CD; download (FLAC/MP3)","Tracklist verified on Presto: Philomel (18:53), Bethany Beardslee — the classic recording; also Phonemena, Post-Partitions, Reflections. CD on Independence Day offer (~30% off) until 2 Sep 2026; 2 in stock."
REC-086,exact,https://www.prestomusic.com/classical/products/7924430--cardew-the-great-learning-etc,"Cardew: The Great Learning, etc. — The Scratch Orchestra (Deutsche Grammophon 20/21, E4715722)","download (FLAC/MP3)","Tracklist verified: recorded Feb 1971, Chappell Studios London; Paragraph 2 (22:03) + Paragraph 7 (20:29) — this IS the 1971 DG recording. Also seen: DG Avantgarde Vinyl Series 180g remaster (4868215, products/9889739), pre-order, due 28 Aug 2026."
REC-118,no,,,,"Contraposition (Arcola, 2018) not stocked. Presto (jazz/electronic section) carries 5 other Rian Treanor releases incl. Ataxia (Planet Mu ZIQ405, CD + 2LP), File Under UK Metaplasm (CD), Obstacle Scattering (LP), Saccades (LP), Body Lapse (LP) — none contains Contraposition."
REC-139,no,,,,"Vande Gorne: zero results on Presto (empreintes DIGITALes not distributed). Cross-checked Philippe Leroux (b.1959): 15 products on Presto, none is Voi(rex) — searches for 'Voi(rex)' return nothing. Neither the misattributed title nor Vox Alia available."
REC-163,exact,https://www.prestomusic.com/classical/products/8456133--new-sounds-in-electronic-music,"New Sounds In Electronic Music — Oliveros / Reich / Maxfield (Columbia, orig. 1967 Odyssey LP)","download only (Hi-Res+ 192kHz, Hi-Res 96kHz, FLAC, MP3)","Tracklist verified: Pauline Oliveros — I of IV (20:31), alongside Reich Come Out and Maxfield Night Music. Digital reissue of the original 1967 Odyssey album; also streamable on Presto."
REC-192,no,,,,"Breadwoman & Other Tales (RVNG) not on Presto: 'Anna Homler' and 'Breadwoman' both return no results in classical and jazz sections."
REC-219,no,,,,"Oramics (Paradigm Discs) not stocked; 'Oramics' returns no results. Only Oram-related item is Turning World (NMC NMCD266, CD/download/Hi-Res) containing Oram's Still Point realised by Shiva Feshareki/James Bulley/LCO — a different work."
REC-242,no,,,,"Through Glass Panes (Important Records) not stocked. Ellen Fullman appears on Presto only as performer on Ghostly Psalms (Innova INNOVA246, download) and Zeitenwechsel - 35 Jahre Berliner Kunstlerprogramm (edition rz RZ20002, CD)."
REC-284,alt,https://www.prestomusic.com/classical/products/7986599--the-philip-glass-ensemble-a-retrospective,"The Philip Glass Ensemble: A Retrospective (Orange Mountain OMM0067)","2 CDs","Excerpts only — no complete Music in Twelve Parts on Presto (Nonesuch and Orange Mountain complete sets not stocked). Presto's works page for Part 1 lists this Philip Glass Ensemble album and Philip Glass: Rework (OMM0082, products/8025199); composer page also lists Part 2 on one product."
REC-311,no,,,,"Ocora Kurdish Tanbur / Ahl-e Haqq disc not on Presto: searches for 'Kurdish tanbur', 'Kurdistan Ocora', 'Ahl-e Haqq' return nothing relevant; 'tanbur' (11 results) yields only Ottoman/Uzbek/Turkish discs. No Jean During Kurdistan disc found."
