work_id,status,url,album,formats,notes
REC-026,alt,https://www.prestomusic.com/classical/products/8019700--cage-music-of-changes,"Cage: Music of Changes — David Tudor (hat[now]ART hatn173)","download (FLAC $9.25 / MP3 $7.00)","Tudor's historic 1956 WDR recording; tracklist verified on Presto page. Also Herbert Henck on Wergo CD WER60099-50: https://www.prestomusic.com/classical/products/7977036--cage-music-of-changes ($18.50, order-on-demand). Catalogued New World issue itself not stocked."
REC-046,alt,https://www.prestomusic.com/classical/products/8056543--milton-babbitt-piano-works,"Milton Babbitt: Piano Works — Robert Taub (Harmonia Mundi HMC905160)","download (FLAC $12.25 / MP3 $10.25)","Tracklist verified on Presto page: opens with Three Compositions (7:44); recorded 1985 in the composer's presence. Catalogued New World recording not stocked."
REC-071,no,,,,"Not on Presto. Fullman appears only as a performer on edition rz compilation items (e.g. Zeitenwechsel, product 8611946); The Long String Instrument album (Apollo/Superior Viaduct) absent."
REC-107,no,,,,"Not on Presto. Only Spiegel presence is a work page for Appalachian Grove I; Patchwork / The Expanding Universe (Unseen Worlds) absent."
REC-134,no,,,,"No recording of Red Bird on Presto. Presto does sell the book 'Red Bird: a document on the making of the electro-acoustic work' (University of York Music Press): https://www.prestomusic.com/sheet-music/products/7320512--trevor-wishart-red-bird"
REC-155,no,,,,"Not on Presto. No Peter Cusack / Sounds from Dangerous Places results in site-restricted search."
REC-185,no,,,,"Not on Presto. Fylkingen Records not stocked; Verbal Brainwash available only via Fylkingen/Bandcamp/Soundohm."
REC-213,no,,,,"As expected: no NFB / Norman McLaren soundtrack releases on Presto (site search returns unrelated 'Norman' composers only)."
REC-238,exact,https://www.prestomusic.com/classical/products/8615888--eliane-radigue-oeuvres-electroniques,"Éliane Radigue — Oeuvres Electroniques (inaGRM INA6060-74)","14 CDs ($131.00, order-on-demand)","Kyema included within Trilogie de la Mort (Kyema, Kailasha, Koume) — same tape realization in the official inaGRM complete-electronic-works box; tracklist verified on Presto page. Standalone XI Records album not stocked."
REC-280,no,,,,"Vol. 10 Borderlands not on Presto. Presto carries other volumes of the Smithsonian Folkways series: Vol. 1 Tengir-Too (download, product 9478112) and Vol. 5 Badakhshan Ensemble (CD+DVD, product 8662398)."
REC-302,alt,https://www.prestomusic.com/classical/products/8068616--r-g-shankara-r-g-mala-in-jogia,"Rag Shankara / Rag Mala in Jogia — Ram Narayan, Anindo Chatterjee (Nimbus NI5245)","CD or download","Same artist, 1989 Nimbus studio recording (71 min). The 1968 Nonesuch Explorer album is not on Presto; URL seen in site-restricted search results (product page blocked to crawlers but listed as 'CD or download')."
