work_id,status,url,album,formats,notes
REC-028,alt,https://www.prestomusic.com/classical/products/8461693--stockhausen-klavierstucke-piano-pieces-i-xi,"Stockhausen: Klavierstücke - Piano Pieces I-XI","2 CDs; download FLAC/MP3","Sabine Liebner (piano), Wergo WER73412; also David Tudor historic first recordings, hat[now]ART HATNOWART172 (products/8496274)"
REC-050,alt,https://www.prestomusic.com/classical/products/8027861--wolfgang-rihm-kontinent,"Wolfgang Rihm: Kontinent","CD; download FLAC/MP3","Klangforum Wien / Emilio Pomàrico, live Kreuzspiel (11:00), Col Legno COL20297; only recording of the work on Presto"
REC-075,no,,,,"Checked classical + site-wide search: no Jlin / Black Origami; Planet Mu not stocked by Presto"
REC-108,alt,https://www.prestomusic.com/classical/products/7977027--risset-songes,"Risset - Songes","Download FLAC/MP3","Wergo WER2013-50; tracklist includes Songes (9:12) plus Passages, Little Boy suite, Sud II-III; same tape work but Wergo edition, not the INA-GRM release"
REC-136,exact,https://www.prestomusic.com/classical/products/8615887--francois-bayle-50-ans-dacousmatique,"François Bayle - 50 Ans D'Acousmatique","15 CDs","Official inaGRM box INAG6033-47; verified tracklist includes Erosphère (with Tremblement de terre très doux)"
REC-157,no,,,,"Checked: no Marc Namblard and no Gruenrekorder label results on Presto"
REC-186,exact,https://www.prestomusic.com/classical/products/7977033--magnificathy,"magnifiCathy: The Many Voices of Cathy Berberian","Download FLAC/MP3; streaming","Wergo WER60054-50, Berberian (soprano) / Bruno Canino; verified tracklist includes Stripsody (4:33); also on 'Songs Cathy Sang' Erato (products/9786627)"
REC-215,exact,https://www.prestomusic.com/classical/products/7977051--ligeti-continuum,"Ligeti: Continuum","CD","Wergo WER60161-50 (Elektronisches Studio des WDR Köln) listed on Presto's Artikulation works page; alt: Les Espaces Electroacoustiques, Col Legno COL40002, 2 SACDs"
REC-239,alt,https://www.prestomusic.com/classical/products/8615888--eliane-radigue-oeuvres-electroniques,"Éliane Radigue - Oeuvres Electroniques","14 CDs","inaGRM box INA6060-74 (2025); verified tracklist includes Trilogie De La Mort (Kyema, Kailasha, Koumé); not the XI Records edition"
REC-281,alt,https://www.prestomusic.com/jazz/products/8029644--bezmara-splendours-of-topkapi,"Bezmara: Splendours of Topkapi","Download","Same ensemble, Ottoman court makam repertoire, Naive OP30266; the 2012 Kalan Muzik album itself is not on Presto"
REC-303,exact,https://www.prestomusic.com/jazz/products/8434748--music-of-bulgaria-ensemble-of-the-bulgarian-republic-koutev,"Music Of Bulgaria - Ensemble Of The Bulgarian Republic/Koutev","Download","Official Nonesuch digital reissue, catalogue 7559798509"
