work_id,status,url,album,formats,notes
REC-045,alt,https://www.prestomusic.com/classical/products/8438325--dallapiccola-il-prigioniero-canti-di-prigionia,"Dallapiccola: Il Prigioniero & Canti di prigionia (Sony SK68323)","Presto CD, download (FLAC/MP3)","Salonen / Swedish Radio SO & Choir; tracklist verified (Canti di Prigionia 23:20). No Naxos recording on Presto. Also on Presto: Erato download 9029531677 (products/8723687) and American SO download ASO188 (products/8067990)."
REC-070,no,,,,"Nodal Excitation (India Navigation/Superior Viaduct) not on Presto. Other Dreyblatt works are: Resonant Relations (Cantaloupe CA21046, products/7996605) and The Adding Machine (CA21006, products/7977438) — different works."
REC-106,no,,,,"Earth's Magnetic Field (Nonesuch 1970) not on Presto. Dodge composer page (composers/6196) lists only A Retrospective 1977-2009, Synthesized Voices, Cascando, 10+2 anthology — none contain this work."
REC-133,exact,https://www.prestomusic.com/classical/products/7993738--new-music-for-electronic-and-recorded-media,"New Music For Electronic And Recorded Media — Women In Electronic Music 1977 (New World NW80653)","CD, download (FLAC/ALAC/WAV/MP3)","Tracklist verified: Anderson, R: Points (5:32), Ruth Anderson. New World reissue of the CRI/1750 Arch anthology named in the reference. CD $18.25, download from $8.75."
REC-154,no,,,,"No Budhaditya Chattopadhyay or Gruenrekorder titles found on Presto; label does not appear to be carried."
REC-183,alt,https://www.prestomusic.com/classical/products/8022584--10-2-12-american-text-sound-pieces,"10 + 2: 12 American Text Sound Pieces (Other Minds OM1006-2)","Download only (FLAC/MP3)","Tracklist verified: contains Brion Gysin performing his permutation poem Come to Free the Words (3:28), but not Junk. Only Gysin recording on Presto; no Sub Rosa Gysin titles in their Sub Rosa catalogue."
REC-212,no,,,,"Book of Travelers (Nonesuch 2018) not on Presto despite Nonesuch being carried; Kahane composer page (composers/16078) shows Heirloom (products/9808861) and Magnificent Bird (jazz/products/9312776) but not this album."
REC-237,exact,https://www.prestomusic.com/classical/products/7993703--palestine-schlingen-blangen,"Palestine: Schlingen-Blängen (New World NW80578)","CD","Charlemagne Palestine, organ; $16.75. The New World/CRI release referenced."
REC-279,alt,https://www.prestomusic.com/classical/products/8017956--ayshemgul-memet-the-female-voice-of-uyghur-muqams-and-folk-songs,"Ayshemgul Memet: The Female Voice of Uyghur Muqams and Folk Songs (Dreyer Gaido DGCD21067)","CD, download","Smithsonian Folkways Twelve Muqam album not on Presto; no Inedit/Ocora muqam sets found. Alt muqam recordings: Ayshemgul Memet (Dreyer Gaido) and Folk Songs of the Uyghur Peoples (Naxos World NXW761052, jazz/products/9722588)."
REC-301,no,,,,"Jean Ritchie and Doc Watson at Folk City not on Presto (Smithsonian Folkways label is carried, 92 pages). Related: Doc Watson and Gaither Carlton SFW40235 (jazz/products/8781090); Jean Ritchie: Ballads from her Appalachian Family Tradition (jazz/products/9477969)."
REC-325,exact,https://www.prestomusic.com/classical/products/8844328--sarah-hennies-spectral-malsconcities,"Sarah Hennies: Spectral Malsconcities (New World NW80824)","CD, download","The referenced New World Records release; performed by Bearthoven/Bent Duo per label."
