work_id,status,url,album,formats,notes
REC-037,no,,,,"Presto carries other Vaggione (Shifting Mirrors 2016 on Les Espaces Electroacoustiques III; Scir on Zeitenwechsel RZ20002) but not Schall"
REC-063,alt,https://www.prestomusic.com/classical/products/7943631--the-music-of-mario-davidovsky-volume-3,"The Music of Mario Davidovsky Volume 3 (Bridge BRIDGE9171)","CD, download (FLAC/MP3)","Synchronisms No. 6 for Piano and Electronic Sounds perf. Aleck Karis, 7:09 — 2006 Bridge recording, not the 1970 CRI original; NWCRL204 CRI reissue on Presto has only Synchronisms 1-3. Also on The American Innovator (Argo) and Secret Geometry (New World)"
REC-089,exact,https://www.prestomusic.com/jazz/products/8456125--for-trio,"For Trio (Arista G010003745323S)","download (FLAC/MP3, album-only tracks)","Original 1978 Arista album, digital reissue; contains both NW-5-94 (Opus 76) versions incl. Version One (20:10). Opus 76 (20:10) also on The Essential Anthony Braxton - The Arista Years (8457729)"
REC-121,exact,https://www.prestomusic.com/classical/products/8784718--pierre-schaeffer-loeuvre-musicale,"Pierre Schaeffer - L'oeuvre musicale (inaGRM INAG6027-29)","3 CDs","CD2 (Schaeffer-Henry oeuvres communes 1950-1953) includes Symphonie pour un homme seul; official INA-GRM edition"
REC-142,no,,,,"Presto lists Lockwood works (In Our Name, World Rhythms, Thirst etc.) but no Sound Map of the Hudson River; Lovely Music catalogue not stocked"
REC-166,no,,,,"No Fripp/Eno product; site search for No Pussyfooting returns one unrelated jazz item"
REC-201,exact,https://www.prestomusic.com/classical/products/8367710--charles-dodge-synthesized-voices,"Charles Dodge: Synthesized Voices (New World NWCRL348, CRI series)","download (FLAC/MP3)","Complete Speech Songs (4 songs, 7:11), composer's original recording; also In Celebration and The Story of Our Lives"
REC-226,no,,,,"Only Ikeda item on Presto is Cyclo CD (Ikeda/Carsten Nicolai collaboration); test pattern not stocked"
REC-246,no,,,,"Zero search results for Tashi Wada; RVNG catalogue not stocked"
REC-286,no,,,,"No Basic Channel audio products; search returns unrelated books only"
REC-315,no,,,,"Zero results for Bird and Person Dyning (searched with and without Lucier)"
