work_id,status,url,album,formats,notes
REC-041,no,,,,"Presto classical search for 'Alberto de Campo' returns only one false positive (Disney 'Un nuevo sonido', track credit 'Franceschini Campo'). No de Campo recordings — as expected for self-released SuperCollider work."
REC-067,alt,https://www.prestomusic.com/classical/products/7938316--kecak-from-bali,"Kecak from Bali — Kecak Ganda Sari, dir. I Gusti Putu Putra (Bridge BCD9019)","CD, download (FLAC/ALAC/WAV, MP3)","The 1969 Nonesuch album and 'Golden Rain' are not on Presto. This Bridge CD is a full-length kecak (Ramayana) performance — Bridge's kecak recording widely credited to David Lewiston, though Presto's page does not name him. Celestial Harmonies 'The Music of Bali' (products/7964066) also has the trad. gamelan piece 'Ujan Mas (Golden Rain)' but no kecak."
REC-095,no,,,,"'Graffiti Composition' returns no results in classical or jazz. Presto has 6 Marclay items (Music for Merce Vol 10, Kronos 'Winter Was Hard', Kitchen Archives No. 3, etc.) but not the Dog W/A Bone release."
REC-129,exact,https://www.prestomusic.com/classical/products/8776142--bernard-parmegiani-l-ouvre-musical-en-12-cd,"Bernard Parmegiani — L'oeuvre musical en 12 CD (inaGRM INAG6000-11, 2025)","12-CD box (~EUR 110 / USD 107)","Presto's work page for Parmegiani 'L'oeil ecoute' (classical/works/337694) lists exactly one recording: this complete-works box, i.e. the composer's own tape realization reissued. The standalone 1970 INA-GRM album is not sold separately."
REC-150,no,,,,"Presto classical search 'Jana Winderen' returns no recordings (only two books mentioning her: A Sound Word Almanac, Bloomsbury Handbook of Sonic Methodologies); jazz search also empty. Touch releases not carried."
REC-171,no,,,,"No 'Guitar Trio' recording. Presto carries Chatham only on two items: From the Kitchen Archives No. 3 (Orange Mountain OMM0024, CD, classical/products/7982007 — no tracklist shown, Chatham track is a different work) and 'The Crying of Lot 69' (Atypeek download, Chatham as sideman)."
REC-204,no,,,,"'Robert Ashley Perfect Lives' and 'Perfect Lives' return nothing relevant (only a film-score false positive). Lovely Music catalogue not carried by Presto."
REC-232,no,,,,"'Outside the Dream Syndicate' returns no results. Presto recognizes Tony Conrad (1940-2016) as a composer but stocks only From the Kitchen Archives — New Music New York 1979 (2 CDs, different work) plus one false positive."
REC-264,no,,,,"No hits for Moudallal / 'Wasla' / Aleppo traditional repertoire. 'Aleppo' results are all Western contemporary works about the city; 'Musiques d'Alep' (Wajd Ensemble, Outhere) is post-2016 European-produced and not the wasla repertoire; no Ocora or Inedit Aleppo titles found."
REC-296,exact,https://www.prestomusic.com/jazz/products/9593633--legacy,"RP Boo — Legacy (Planet Mu ZIQ335CD, 2013)","CD (EUR 11.63, in stock)","Listed in Presto's jazz section. Presto also stocks RP Boo 'Legacy Volume 2', 'I'll Tell You What' and 'The Ultimate' (jazz search 'RP Boo', 5 items)."
REC-321,alt,https://www.prestomusic.com/classical/products/7996575--suzuki-a-na-gi-1997-calm,"Akio Suzuki — Na-gi 1997 - Calm (edition RZ RZ10005)","CD (EUR 22.22, 8-10 working days)","'Kikoeru' itself is not on Presto, but Presto lists Akio Suzuki (b.1941) as a composer with this solo edition RZ release; he also appears on the Auckland Festival compilation 's3d (ear & eye): Live at Galatos AK07' (classical/products/7983242)."
