work_id,status,url,album,formats,notes
REC-034,no,,,,"No Presto results for Lexikon-Sonate (classical search: no results); Karlheinz Essl composer page exists but carries no Lexikon-Sonate recording — only self-released/Soundprint CDs exist"
REC-062,exact,https://www.prestomusic.com/classical/products/9535412--yun-loyang-gasa-reak-shao-yang-yin-tuyaux-sonores,"Yun: Loyang / Gasa / Réak / Shao Yang Yin / Tuyaux sonores (Wergo WER66202)",Download,"Contains Réak for Orchestra — SWF-Sinfonieorchester Baden-Baden / Ernest Bour (premiere-era Wergo recording); 2023 Wergo reissue, download only"
REC-088,exact,https://www.prestomusic.com/jazz/products/8707702--3-compositions-of-new-jazz,"3 Compositions of New Jazz (Delmark Records DE415)","Download (FLAC/ALAC/WAV CD-quality, MP3)","The Delmark album itself in Presto Jazz; Anthony Braxton (saxophone); Composition 6E is on this album; no physical format listed"
REC-120,exact,https://www.prestomusic.com/classical/products/8784718--pierre-schaeffer-loeuvre-musicale,"Pierre Schaeffer - L'oeuvre musicale (inaGRM INAG6027-29)",3 CDs,"Tracklist verified: CD1 opens with Cinq études de bruits (Les incunables 1948-1952); official INA-GRM edition of Schaeffer's own tape works"
REC-140,exact,https://www.prestomusic.com/classical/products/8776131--luc-ferrari-l-ouvre-electronique,"Luc Ferrari - L'œuvre électronique (inaGRM INAG6017-26)",10 CDs,"Tracklist verified: includes Presque rien n°1 ou le lever du jour au bord de la mer; official INA-GRM box of Ferrari's electronic works"
REC-164,exact,https://www.prestomusic.com/classical/products/9809846--terry-riley-the-columbia-recordings,"Terry Riley - The Columbia Recordings (Sony 19802908832)",4 CDs,"Tracklist verified: CD2 track 2 is Poppy Nogood and the Phantom Band — the original 1969 CBS/Columbia recording; alt recording also on Presto: Bl!ndman 'Icons' (Warner 3CD) https://www.prestomusic.com/classical/products/9464869--icons"
REC-198,exact,https://www.prestomusic.com/classical/products/7977058--nono-la-fabbrica-illuminata-cancione,"Nono - La Fabbrica Illuminata / Cancione (Wergo WER60382)",CD,"Tracklist verified: contains La fabbrica illuminata with Carla Henius (soprano, the work's premiere singer); currently out of stock at UK distributor but orderable (6+ weeks)"
REC-225,no,,,,"No Presto results: 'Ryoji Ikeda' returns nothing in classical or jazz search; raster-noton catalogue not stocked"
REC-244,no,,,,"No Presto results: 'Hennix' returns nothing in classical search; Important Records catalogue not stocked"
REC-285,exact,https://www.prestomusic.com/classical/products/7963261--meredith-monk-dolmen-music,"Meredith Monk: Dolmen Music (ECM 8254592)","CD, Download","Original 1981 ECM album; also included in 'Meredith Monk - The Recordings' 13-CD ECM box https://www.prestomusic.com/classical/products/9380262--meredith-monk-the-recordings"
REC-314,exact,https://www.prestomusic.com/classical/products/7993682--john-cage-david-tudor-rainforest-mureau,"John Cage & David Tudor: Rainforest & Mureau (New World NW80540)","2 CDs, Download","New World recording of Tudor's Rainforest (with Cage's Mureau), matching the label hint; alt: David Tudor: Rainforest (Versions 1 & 4) — Mode MOD-CD-64, download, Tudor/Kosugi https://www.prestomusic.com/classical/products/8461523--david-tudor-rainforest-versions-1-4"
