work_id,status,url,album,formats,notes
REC-031,no,,,,"No listing for The Expanding Universe; Unseen Worlds label page exists on Presto but the album was not found (2 searches)"
REC-060,alt,https://www.prestomusic.com/classical/products/9325438--eclipse,"Eclipse - Dvorak/Ginastera/Sarasate (Deutsche Grammophon 4862383)","CD, download, Hi-Res download","Alt recording: Hilary Hahn, Frankfurt Radio Symphony, Orozco-Estrada; BBC Music Magazine Award winner 2023. No Naxos recording of the Violin Concerto on Presto (works page lists 5 recordings); also available: Accardo on Dynamic S2042 download (product 7969272) and Eclipse 2LP vinyl (product 9325439)"
REC-083,alt,https://www.prestomusic.com/classical/products/7928596--christian-wolff-bread-and-roses,"Christian Wolff - Bread and Roses (Wergo WER66582)","CD, download","Alt recording: Malcolm Goldstein (violin/voice) & Matthias Kaul (percussion/voice/hurdy-gurdy). Original New World album not on Presto; works page lists 8 recordings of For 1 2 or 3 People incl. edition rz Kompositionen 1950-1972 2CD (RZ1023/24)"
REC-114,no,,,,"Exai not found; Presto carries some Warp titles (e.g. Autechre Confield vinyl) but not Exai"
REC-138,no,,,,"No Denis Smalley or empreintes DIGITALes listings found on Presto"
REC-162,exact,https://www.prestomusic.com/classical/products/8109790--reich-early-works,"Reich: Early Works (Nonesuch 0349709206)","download","Tracklist verified: contains Come Out (13:09, Steve Reich tape) plus Piano Phase, Clapping Music, It's Gonna Rain. Download/streaming only, no physical; Come Out also in Steve Reich: Collected Works 26CD+DVD box (product 9746628)"
REC-190,no,,,,"No Lily Greenham or Paradigm Discs listings found on Presto"
REC-217,alt,https://www.prestomusic.com/classical/products/8066654--mobile-for-shakespeare,"Mobile For Shakespeare (hat[now]ART 118)","CD, download","Alt recording: Ensemble Avantgarde, Leipziger Streichquartett, Beat Furrer (hat, 1999) - not the 1960 WERGO recording; title album for the work"
REC-241,exact,https://www.prestomusic.com/classical/products/7993732--ben-johnston-string-quartets-nos-2-3-4-9,"Ben Johnston: String Quartets Nos. 2, 3, 4 & 9 (New World NW80637)","CD, download","Kepler Quartet; contains String Quartet No. 4 'Amazing Grace'. Companion Kepler volumes NW80693 (Nos. 1/5/10, product 7996452) and NW80730 (Nos. 6/7/8, product 8121246) also on Presto"
REC-283,exact,https://www.prestomusic.com/classical/products/9809846--terry-riley-the-columbia-recordings,"Terry Riley - The Columbia Recordings (Sony 19802908832)","4 CDs","2025 remastered box containing the original 1969 A Rainbow in Curved Air album alongside In C, Church of Anthrax and Shri Camel; standalone Rainbow album not listed separately (works page shows no results)"
REC-309,no,,,,"UNESCO Collection Mongolia album not on Presto; only unrelated Mongolian traditional albums (ARC Music Khoomii/Yatga etc.)"
